,input_texts,target_texts
6095,Do you like oranges?,Σου αρέσουν τα πορτοκάλια;
6096,Do you like oranges?,Σας αρέσουν τα πορτοκάλια;
6097,Do you like singing?,Σ' αρέσει να τραγουδάς;
6098,Do you like singing?,Σου αρέσει να τραγουδάς;
6099,Do you like singing?,Σας αρέσει να τραγουδάτε;
6100,Do you like to draw?,Σ' αρέσει να ζωγραφίζεις;
6101,Do you like to draw?,Σου αρέσει να ζωγραφίζεις;
6102,Do you like to draw?,Σας αρέσει να ζωγραφίζετε;
6103,Do you like to sing?,Σ' αρέσει να τραγουδάς;
6104,Do you like to sing?,Σου αρέσει να τραγουδάς;
6105,Do you like to sing?,Σας αρέσει να τραγουδάτε;
6106,Do you speak French?,Μιλάς γαλλικά;
6107,Don't open the door.,Μην ανοίξεις την πόρτα.
6108,Don't open the door.,Μην ανοίξετε την πόρτα.
6109,Don't open this box.,Μην ανοίξεις αυτό το κουτί.
6110,Don't open this box.,Μην ανοίξετε αυτό το κουτί.
6111,Don't stand near me.,Μη στέκεσαι κοντά μου.
6112,Everybody loves him.,Όλος ο κόσμος τον αγαπάει.
6113,Everyone is special.,Καθένας είναι ξεχωριστός.
6114,Everything is ready.,Όλα είναι έτοιμα.
6115,"Excuse me, I'm lost.","Συγνώμη, χάθηκα."
6116,French is difficult.,Τα Γαλλικά είναι δύσκολα.
6117,French is difficult.,Είναι δύσκολα τα Γαλλικά.
6118,Give me that bottle.,Δώσ' μου εκείνο το μπουκάλι.
6119,Give me that bottle.,Δώσε μου εκείνο το μπουκάλι.
6120,Give me that bottle.,Δώστε μου εκείνο το μπουκάλι.
6121,Give me three hours.,Δώσε μου τρεις ώρες.
6122,Give me three hours.,Δώσ' μου τρεις ώρες.
6123,Give me three hours.,Δώστε μου τρεις ώρες.
6124,Give me three weeks.,Δώσε μου τρεις βδομάδες.
6125,Give me three weeks.,Δώσ' μου τρεις βδομάδες.
6126,Give me three weeks.,Δώστε μου τρεις βδομάδες.
6127,He became a pianist.,Έγινε πιανίστας.
6128,He has ten children.,Έχει δέκα παιδιά.
6129,He is a good singer.,Είναι καλός τραγουδιστής.
6130,He is at home today.,Είναι στο σπίτι σήμερα.
6131,He is very busy now.,Είναι πολύ απασχολημένος τώρα.
6132,He lives in Morocco.,Αυτός ζει στο Μαρόκο.
6133,He took off his hat.,Έβγαλε το καπέλο του.
6134,He wants to kill me.,Θέλει να με σκοτώσει.
6135,He was disappointed.,Ήταν απογοητευμένος.
6136,He was very patient.,Ήταν πολύ υπομονετικός.
6137,He'll get well soon.,Θα γίνει σύντομα καλά.
6138,He's a musicologist.,Είναι μουσικολόγος.
6139,He's afraid of cats.,Φοβάται τις γάτες.
6140,Her sweater is blue.,Το πουλόβερ της είναι μπλε.
6141,His eyesight is bad.,Η όρασή του είναι κακή.
6142,His eyesight is bad.,Είναι κακή η όρασή του.
6143,His parents hate me.,Οι γονείς του με μισούν.
6144,His real name's Tom.,Τ' αληθινό του όνομα είναι Τομ.
6145,His real name's Tom.,Το πραγματικό του όνομα είναι Τομ.
6146,How can we find Tom?,Πώς μπορούμε να βρούμε τον Τομ;
6147,How can we stop Tom?,Πώς μπορούμε να σταματήσουμε τον Τομ;
6148,How did you find me?,Πώς με βρήκες;
6149,How did you lose it?,Πώς το έχασες;
6150,How is your brother?,Πώς είναι ο αδερφός σου;
6151,How is your brother?,Πώς είναι ο αδερφός σας;
6152,How much do you owe?,Πόσα χρωστάς;
6153,How much do you owe?,Πόσα χρωστάτε;
6154,"I am a teacher, too.",Κι εγώ είμαι δάσκαλος.
6155,"I am a teacher, too.",Κι εγώ είμαι δασκάλα.
6156,I am not from India.,Δεν είμαι από την Ινδία.
6157,I am older than him.,Είμαι μεγαλύτερος απ' αυτόν.
6158,I bought 24 pencils.,Αγόρασα 24 μολύβια.
6159,I bought some bread.,Αγόρασα λίγο ψωμί.
6160,I bought you a gift.,Σου πήρα ένα δώρο.
6161,I bought you a gift.,Σας πήρα ένα δώρο.
6162,I can come at three.,Μπορώ να έρθω στις τρεις.
6163,I can come at three.,Μπορώ να 'ρθω στις τρεις.
6164,I can't permit this.,Δεν μπορώ να το επιτρέψω αυτό.
6165,I didn't invite Tom.,Δεν προσκάλεσα τον Τομ.
6166,I didn't see anyone.,Δεν είδα κανέναν.
6167,I don't know French.,Δεν ξέρω Γαλλικά.
6168,I don't like Boston.,Δε μ' αρέσει η Βοστώνη.
6169,I don't like Boston.,Δε μου αρέσει η Βοστώνη.
6170,I don't like French.,Δε μ' αρέσουν τα Γαλλικά.
6171,I don't like French.,Δε μου αρέσουν τα Γαλλικά.
6172,I don't like cheese.,Δε μ' αρέσει το τυρί.
6173,I don't like cheese.,Δε μου αρέσει το τυρί.
6174,I don't trust women.,Δεν εμπιστεύομαι τις γυναίκες.
6175,I don't want dinner.,Δεν θέλω να δειπνίσω.
6176,I don't want to die.,Δε θέλω να πεθάνω.
6177,I don't want to eat.,Δε θέλω να φάω.
6178,I dream every night.,Βλέπω όνειρα κάθε βράδυ.
6179,I drive a black car.,Οδηγώ ένα μαύρο αμάξι.
6180,I drive a black car.,Οδηγάω ένα μαύρο αυτοκίνητο.
6181,I felt very awkward.,Ένιωσα πολύ άβολα.
6182,I had good teachers.,Είχα καλούς δασκάλους.
6183,I had good teachers.,Είχα καλές δασκάλες.
6184,I had three options.,Είχα τρία εισιτήρια.
6185,I have to go to bed.,Πρέπει να πάω για ύπνο.
6186,I have to leave now.,Πρέπει να φύγω τώρα.
6187,I heard you singing.,Σας άκουσα να τραγουδάτε.
6188,I heard you singing.,Σ' άκουσα να τραγουδάς.
6189,I heard you singing.,Σε άκουσα να τραγουδάς.
6190,I hope Tom is right.,Ελπίζω να 'χει δίκιο ο Τομ.
6191,I hope Tom is right.,Ελπίζω να έχει δίκιο ο Τομ.
6192,I hope it goes well.,Ελπίζω να πάει καλά.
6193,I hope it went well.,Ελπίζω να πήγε καλά.
6194,I like Boston a lot.,Μ' αρέσει πολύ η Βοστώνη.
6195,I like Boston a lot.,Μου αρέσει πολύ η Βοστώνη.
6196,I like it very much.,Μ' αρέσει πάρα πολύ.
6197,I live in Australia.,Ζω στην Αυστραλία.
6198,I love Chinese food.,Το λατρεύω το κινέζικο φαγητό.
6199,I love Italian food.,Λατρεύω το ιταλικό φαγητό.
6200,I love french fries.,Λατρεύω τις τηγανητές πατάτες.
6201,I love french fries.,Με τρελαίνουν οι τηγανητές πατάτες.
6202,I managed to get in.,Κατάφερα να μπω μέσα.
6203,I never trusted you.,Ποτέ δε σ' εμπιστεύτηκα.
6204,I never trusted you.,Ποτέ δε σε εμπιστεύτηκα.
6205,I never trusted you.,Ποτέ δε σας εμπιστεύτηκα.
6206,I never trusted you.,Δε σ' εμπιστεύτηκα ποτέ.
6207,I never trusted you.,Δε σε εμπιστεύτηκα ποτέ.
6208,I never trusted you.,Δε σας εμπιστεύτηκα ποτέ.
6209,I only speak French.,Μιλάω μόνο Γαλλικά.
6210,"I owe you 3,000 yen.",Σου χρωστάω 3.000 γιεν.
6211,"I owe you 3,000 yen.",Σας χρωστάω 3.000 γιεν.
6212,I pretended to work.,Έκανα πως δουλεύω.
6213,I pretended to work.,Έκανα πως δούλευα.
6214,I remember him well.,Τον θυμάμαι καλά.
6215,I saw Tom kiss Mary.,Είδα τον Τομ να φιλάει τη Μαίρη.
6216,I saw Tom kiss Mary.,Είδα τον Τομ να φιλά τη Μαίρη.
6217,I saw Tom on Monday.,Είδα τον Τομ τη Δευτέρα.
6218,I think I hear them.,Νομίζω πως τα ακούω.
6219,I think I hear them.,Νομίζω πως τις ακούω.
6220,I think I hear them.,Νομίζω πως τους ακούω.
6221,I think Tom is fair.,Νομίζω ότι ο Τομ είναι δίκαιος.
6222,I think Tom is tall.,Νομίζω πως ο Τομ είναι ψηλός.
6223,I think Tom is thin.,Νομίζω ότι ο Τομ είναι λεπτός.
6224,I think Tom is ugly.,Νομίζω πως ο Τομ είναι άσχημος.
6225,I think Tom is wise.,Νομίζω πως ο Τομ είναι σοφός.
6226,I think you're lost.,Νομίζω ότι έχεις χαθεί.
6227,I told them to stop.,Τους είπα να σταματήσουν.
6228,I used to eat pizza.,Συνήθιζα να τρώω πίτσα.
6229,I want to thank you.,Θέλω να σ' ευχαριστήσω.
6230,I want to thank you.,Θέλω να σας ευχαριστήσω.
6231,I want to thank you.,Θέλω να σε ευχαριστήσω.
6232,I want to try again.,Θέλω να ξαναδοκιμάσω.
6233,I want to try again.,Θέλω να ξαναπροσπαθήσω.
6234,I wanted to do that.,Ήθελα να το κάνω αυτό.
6235,I was a bit unlucky.,Ήμουν λιγάκι άτυχος.
6236,I was a bit unlucky.,Ήμουν λιγάκι άτυχη.
6237,I was almost killed.,Παραλίγο να σκοτωθώ.
6238,I was baking a cake.,Έψηνα ένα κέικ.
6239,I was flabbergasted.,'Εμεινα κόκκαλο από έκπληξη.
6240,I was taking a bath.,Έκανα μπάνιο.
6241,I washed my T-shirt.,Έπλυνα το μπλουζάκι μου.
6242,I watched the movie.,Παρακολούθησα την ταινία.
6243,I watched the movie.,Είδα την ταινία.
6244,I will be back soon.,Θα επιστρέψω σύντομα
6245,I will study German.,Θα μελετήσω Γερμανικά.
6246,I won't forgive her.,Δε θα τη συγχωρέσω.
6247,I'll call you later.,Θα σου τηλεφωνήσω αργότερα.
6248,I'll close the door.,Θα κλείσω την πόρτα.
6249,I'll go if Tom goes.,"Αν πάει ο Θωμάς, θα πάω κι εγώ."
6250,I'll go to the park.,Θα πάω στο πάρκο.
6251,I'll tell you later.,Θα σου πω αργότερα.
6252,I'll tell you later.,Θα σας πω αργότερα.
6253,I'm better than you.,Είμαι καλύτερος από εσένα.
6254,I'm better than you.,Είμαι καλύτερη από εσένα.
6255,I'm eating an apple.,Τρώω ένα μήλο.
6256,"I'm fine, thank you.","Καλά είμαι, ευχαριστώ."
6257,I'm learning French.,Μαθαίνω Γαλλικά.
6258,I'm living my dream.,Ζω το όνειρό μου.
6259,I'm no longer tired.,Mου 'φυγε ο ύπνος.
6260,I'm not a scientist.,Δεν είμαι επιστήμονας.
6261,I'm not complaining.,Δεν παραπονιέμαι.
6262,I'm not from Boston.,Δεν είμαι απ' τη Βοστώνη.
6263,I'm not from Boston.,Δεν είμαι από τη Βοστώνη.
6264,I'm not very hungry.,Δεν πεινάω πολύ.
6265,I'm not very hungry.,Δεν πεινάω και πολύ.
6266,I'm proud of my son.,Είμαι περήφανος για τον γιο μου.
6267,I'm proud of my son.,Είμαι περήφανη για τον γιο μου.
6268,I'm studying French.,Μελετάω Γαλλικά.
6269,I'm studying French.,Διαβάζω Γαλλικά.
6270,I'm sure Tom's fine.,Είμαι σίγουρος ότι ο Τομ είναι μια χαρά .
6271,I'm taller than Tom.,Είμαι πιο ψηλός από τον Τομ.
6272,I'm teaching French.,Διδάσκω γαλλικά.
6273,I'm thinking of you.,Σε σκέπτομαι.
6274,I've got my reasons.,Έχω τους λόγους μου.
6275,I've got three kids.,Έχω τρία παιδιά.
6276,I've just come home.,Εγώ μόλις ήρθα στο σπίτι.
6277,I've lost my pencil.,Εχασα το μολύβι μου.
6278,I've lost my pencil.,Έχω χάσει το μολύβι μου.
6279,I've lost my ticket.,Έχω χάσει το εισιτήριό μου.
6280,Is French difficult?,Είναι δύσκολα τα Γαλλικά;
6281,Is French difficult?,Είναι τα Γαλλικά δύσκολα;
6282,Is everything ready?,Είναι όλα έτοιμα;
6283,Is it still raining?,Βρέχει ακόμα;
6284,Is it still raining?,Ακόμη βρέχει;
6285,Is this good French?,Είναι αυτά καλά Γαλλικά;
6286,Is this radio yours?,Αυτό το ραδιόφωνο είναι δικό σου;
6287,Is this radio yours?,Αυτό το ραδιόφωνο είναι δικό σας;
6288,It buried the bones.,Έθαψε τα κόκαλα.
6289,It expires tomorrow.,Λήγει αύριο.
6290,It expires tomorrow.,Εκπνέει αύριο.
6291,It is a little cold.,Είναι λίγο κρύο.
6292,It is a little cold.,Κάνει λίγο κρύο.
6293,It is going to rain.,Θα βρέξει.
6294,It never snows here.,Ποτέ δε χιονίζει εδώ.
6295,It often snows here.,Χιονίζει συχνά εδώ.
6296,It rained last week.,Έβρεξε την περασμένη εβδομάδα.
6297,It rained last week.,Έβρεξε τη βδομάδα που μας πέρασε.
6298,It rained yesterday.,Έβρεξε χτες.
6299,It rains here often.,Βρέχει συχνά εδώ.
6300,It sounds dangerous.,Ακούγεται επικίνδυνο.
6301,It was a bad choice.,Ήταν κακή επιλογή.
6302,It was a bad choice.,Ήταν μια κακή επιλογή.
6303,It wasn't important.,Δεν ήταν σημαντικό.
6304,It'll be ready soon.,Σύντομα θα 'ναι έτοιμο.
6305,It'll be ready soon.,Σύντομα θα 'ναι έτοιμος.
6306,It'll be ready soon.,Σύντομα θα 'ναι έτοιμη.
6307,It'll be ready soon.,Σύντομα θα είναι έτοιμη.
6308,It'll be ready soon.,Σύντομα θα είναι έτοιμο.
6309,It'll be ready soon.,Σύντομα θα είναι έτοιμος.
6310,It'll rain tomorrow.,Αύριο θα βρέξει.
6311,It'll rain tomorrow.,Θα βρέξει αύριο.
6312,It'll snow tomorrow.,Αύριο θα χιονίσει.
6313,It'll snow tomorrow.,Θα χιονίσει αύριο.
6314,It's Saturday today.,Σήμερα είναι Σάββατο.
6315,It's almost perfect.,Είναι σχεδόν τέλειος.
6316,It's almost perfect.,Είναι σχεδόν τέλεια.
6317,It's almost perfect.,Είναι σχεδόν τέλειο.
6318,It's too noisy here.,Έχει πολύ φασαρία εδώ.
6319,It's very cold here.,Κάνει πολύ κρύο εδώ.
6320,It's very dangerous.,Είναι πολύ επικίνδυνο.
6321,It's your only hope.,Είναι η μόνη σας ελπίδα.
6322,It's your only hope.,Είναι η μόνη σου ελπίδα.
6323,Japanese are Asians.,Οι Γιαπωνέζοι είναι Ασιάτες.
6324,Japanese are Asians.,Οι Ιάπωνες είναι Ασιάτες.
6325,Let's hope it works.,Ας ελπίσουμε πως θα πετύχει.
6326,Let's make it brief.,Ας το κάνουμε συνοπτικά.
6327,Let's order a pizza.,Ας παραγγείλουμε μια πίτσα.
6328,Mary was Tom's wife.,Η Μαίρη ήταν η σύζυγος του Τομ.
6329,My hobby is cooking.,Το χόμπι μου είναι να μαγειρεύω.
6330,My tea is too sweet.,Το τσάι μου είναι πολύ γλυκό.
6331,My wife is a doctor.,Η γυναίκα μου είναι γιατρός.
6332,No one has panicked.,Κανείς δεν έχει πανικοβληθεί.
6333,Nobody believed Tom.,Κανείς δεν πίστεψε τον Τομ.
6334,Nobody believed Tom.,Κανένας δεν πίστεψε τον Τομ.
6335,Nobody believed you.,Κανείς δε σε πίστεψε.
6336,Nobody believed you.,Κανείς δε σας πίστεψε.
6337,Nothing has changed.,Τίποτα δεν έχει αλλάξει.
6338,Now is not the time.,Τώρα δεν είν' η ώρα.
6339,Paper burns quickly.,Το χαρτί καίγεται γρήγορα.
6340,Please come at 2:30.,"Σας παρακαλώ, ελάτε στις 2:30."
6341,Please come at 2:30.,"Σε παρακαλώ, έλα στις 2:30."
6342,Please come at 2:30.,"Παρακαλώ, ελάτε στις 2:30."
6343,Please feed the cat.,"Σας παρακαλώ, ταΐστε τη γάτα."
6344,Please feed the cat.,"Σε παρακαλώ, τάισε τη γάτα."
6345,Please listen to us.,"Σε παρακαλώ, άκουσέ μας."
6346,Please listen to us.,"Σας παρακαλώ, ακούστε μας."
6347,She closed her eyes.,Έκλεισε τα μάτια της.
6348,She gave up smoking.,Έκοψε το κάπνισμα.
6349,She gave up smoking.,Έκοψε το τσιγάρο.
6350,She has two sisters.,Έχει δυο αδερφές.
6351,She is about my age.,Είναι περίπου στην ηλικία μου.
6352,She is my classmate.,Είναι συμμαθήτριά μου.
6353,She lives in London.,Ζει στο Λονδίνο.
6354,She looks very sick.,Μοιάζει πολύ άρρωστη.
6355,She sat next to him.,Καθόταν δίπλα του.
6356,She shaved her head.,Ξύρισε το κεφάλι της.
6357,She still loves him.,Τον αγαπάει ακόμα.
6358,She understands him.,Τον καταλαβαίνει.
6359,She works in a bank.,Δουλεύει σε τράπεζα.
6360,She works in a bank.,Δουλεύει σε μια τράπεζα.
6361,She works in a bank.,Εργάζεται σε τράπεζα.
6362,She works in a bank.,Εργάζεται σε μια τράπεζα.
6363,She's a good person.,Είναι καλός άνθρωπος.
6364,Snakes are reptiles.,Τα φίδια είναι ερπετά.
6365,Something was wrong.,Κάτι δεν πήγαινε καλά.
6366,Stop criticizing me.,Σταμάτα να με κριτικάρεις.
6367,Stop criticizing me.,Σταμάτα να με κρίνεις.
6368,Stop criticizing me.,Σταμάτα να μου ασκείς κριτική.
6369,Stop criticizing me.,Σταμάτα να με κατακρίνεις.
6370,"Take a seat, please.","Παρακαλώ, καθήστε."
6371,Taxis are expensive.,Τα ταξί είναι ακριβά.
6372,Tell Tom I love him.,Πες στον Τομ ότι τον αγαπώ.
6373,Tell Tom I love him.,Πείτε στον Τομ ότι τον αγαπώ.
6374,Tell Tom I'm hungry.,Πες στον Τομ ότι πεινάω.
6375,Tell Tom I'm hungry.,Πείτε στον Τομ ότι πεινάω.
6376,Tell Tom I'm hungry.,Πέστε στον Τομ ότι πεινάω.
6377,Tell me who you saw.,Πες μου ποιον είδατε.
6378,Tell me who you saw.,Πείτε μου ποιον είδατε.
6379,Tell me who you saw.,Πες μου ποιον είδες.
6380,Tell us where to go.,Πες μας πού να πάμε.
6381,Tell us where to go.,Πείτε μας πού να πάμε.
6382,Thailand is in Asia.,Η Ταϊλάνδη βρίσκεται στην Ασία.
6383,That dress is cheap.,Εκείνο το φόρεμα είναι φτηνό.
6384,That student is Tom.,Εκείνος ο μαθητής είναι ο Τομ.
6385,That student is Tom.,Εκείνος ο φοιτητής είναι ο Τομ.
6386,That was a good hat.,Αυτό ήταν καλό καπέλο.
6387,That's not the goal.,Δεν είναι αυτός ο στόχος.
6388,That's not the goal.,Δεν είν' αυτός ο στόχος.
6389,The apples are ripe.,Τα μήλα είναι ώριμα.
6390,The apples are ripe.,Είναι ώριμα τα μήλα.
6391,The bag wasn't mine.,Η τσάντα δεν ήταν δική μου.
6392,The blouse is clean.,Η μπλούζα είναι καθαρή.
6393,The bottle is empty.,Το μπουκάλι είναι άδειο.
6394,The computer is new.,Ο υπολογιστής είναι καινούργιος.
6395,The girl is jumping.,Το κορίτσι πηδάει.
6396,The house was empty.,Το σπίτι ήταν άδειο.
6397,The kids are asleep.,Τα παιδιά κοιμούνται.
6398,The kids were happy.,Τα παιδιά ήταν χαρούμενα.
6399,The kids were happy.,Ήταν χαρούμενα τα παιδιά.
6400,The movie was awful.,Η ταινία ήταν απαίσια.
6401,The server was down.,Ο σέρβερ έπεσε.
6402,The snow is melting.,Το χιόνι λιώνει.
6403,The street is empty.,Ο δρόμος είναι άδειος.
6404,The street was dark.,Ο δρόμος ήταν σκοτεινός.
6405,There are no spoons.,Δεν υπάρχουν κουτάλια.
6406,There's room inside.,Υπάρχει χώρος μέσα.
6407,There's room inside.,Υπάρχει μέσα χώρος.
6408,These are the names.,Αυτά είναι τα ονόματα.
6409,These books are new.,Αυτά τα βιβλία είναι καινούρια.
6410,These books are old.,Αυτά τα βιβλία είναι παλιά.
6411,These cars are ours.,Αυτά τα αυτοκίνητα είναι δικά μας.
6412,They aren't doctors.,Δεν είναι γιατροί.
6413,They aren't farmers.,Δεν είναι αγρότες.
6414,They aren't farmers.,Δεν είν' αγρότες.
6415,They asked for help.,Ζήτησαν βοήθεια.
6416,They didn't know me.,Δε με ήξεραν.
6417,They didn't know me.,Δε με γνώριζαν.
6418,They had three sons.,Είχαν τρεις γιους.
6419,They have been busy.,Ήταν απασχολημένες.
6420,They have been busy.,Ήταν απασχολημένοι.
6421,They need investors.,Χρειάζονται επενδυτές.
6422,They went to Boston.,Πήγαν στη Βοστώνη.
6423,They were good kids.,Ήταν καλά παιδιά.
6424,They were satisfied.,Ήταν ικανοποιημένες.
6425,They were satisfied.,Ήταν ικανοποιημένοι.
6426,They're never happy.,Δεν είναι ποτέ χαρούμενοι.
6427,They're never happy.,Δεν είναι ποτέ χαρούμενες.
6428,They're never happy.,Δεν είναι ποτέ χαρούμενα.
6429,They're not doctors.,Δεν είναι γιατροί.
6430,They're our leaders.,Είναι οι ηγέτες μας.
6431,They're proud of me.,Είναι περήφανες για μένα.
6432,They're proud of me.,Είναι περήφανα για μένα.
6433,They're proud of me.,Είναι περήφανοι για μένα.
6434,Things have changed.,Τα πράγματα έχουν αλλάξει.
6435,Things have changed.,Έχουν αλλάξει τα πράγματα.
6436,This belongs to Tom.,Αυτό ανήκει στον Τομ.
6437,This belongs to you.,Αυτό ανήκει σε σας.
6438,This belongs to you.,Αυτό ανήκει σε σένα.
6439,This church is huge.,Αυτή η εκκλησία είναι τεράστια.
6440,This door is locked.,Αυτή η πόρτα είναι κλειδωμένη.
6441,This makes no sense.,Δεν έχει νόημα.
6442,Tom and Mary kissed.,Ο Τομ και η Μαίρη φιλήθηκαν.
6443,Tom approached Mary.,Ο Τομ πλησίασε τη Μαίρη.
6444,Tom arrived at 2:30.,Ο Τομ έφτασε στις 2:30.
6445,Tom ate some cheese.,Ο Τομ έφαγε λίγο τυρί.
6446,Tom became a dancer.,Ο Τομ έγινε χορευτής.
6447,Tom became a singer.,Ο Τομ έγινε τραγουδιστής.
6448,Tom boiled the eggs.,Ο Τομ έβρασε τ' αυγά.
6449,Tom bought a ticket.,Ο Τομ αγόρασε ένα εισιτήριο.
6450,Tom called me names.,Ο Τομ μ' έβρισε.
6451,Tom called me names.,Ο Τομ με έβρισε.
6452,Tom caught the ball.,Ο Τομ έπιασε την μπάλα.
6453,Tom depends on Mary.,Ο Τομ είναι εξαρτημένος από την Μαίρη.
6454,Tom died in October.,Ο Τομ πέθανε τον Οκτώβριο.
6455,Tom disappointed me.,Ο Τομ με απογοήτευσε.
6456,Tom doesn't help me.,Ο Τομ δε με βοηθάει.
6457,Tom encouraged Mary.,Ο Τομ ενθάρρυνε τη Μαίρη.
6458,Tom gave me his key.,Ο Τομ μου 'δωσε το κλειδί του.
6459,Tom gave me his key.,Ο Τομ μου έδωσε το κλειδί του.
6460,Tom gets up at 6:30.,Ο Τομ σηκώνεται στις 6:30.
6461,Tom grabbed my hand.,Ο Τομ άρπαξε το χέρι μου.
6462,Tom grabbed my hand.,Ο Τομ μου άρπαξε το χέρι.
6463,Tom had a black cat.,Ο Τομ είχε μια μαύρη γάτα.
6464,Tom has a big truck.,Ο Τομ έχει ένα μεγάλο φορτηγό.
6465,Tom has disappeared.,Ο Toμ έχει εξαφανιστεί.
6466,Tom has gone to bed.,Ο Τομ έχει πάει για ύπνο.
6467,Tom has one brother.,Ο Τομ έχει έναν αδερφό.
6468,Tom has other plans.,Ο Τομ έχει άλλα σχέδια.
6469,Tom has small hands.,Ο Τομ έχει μικρά χέρια.
6470,Tom has worked hard.,Ο Τομ έχει δουλέψει σκληρά.
6471,Tom has worked hard.,Ο Τομ έχει εργαστεί σκληρά.
6472,Tom hasn't met Mary.,Ο Τομ δεν έχει γνωρίσει τη Μαίρη.
6473,Tom heard the noise.,Ο Τομ άκουσε τον θόρυβο.
6474,Tom is a decent guy.,Ο Τομ είναι καλό παιδί.
6475,Tom is a good coach.,Ο Τομ είναι καλός προπονητής.
6476,Tom is a journalist.,Ο Τομ είναι δημοσιογράφος.
6477,Tom is a vegetarian.,Ο Τομ είναι χορτοφάγος.
6478,Tom is already dead.,Ο Τομ είναι ήδη νεκρός.
6479,Tom is bad at lying.,Ο Τομ δε ξέρει να λέει ψέματα.
6480,Tom is bad at lying.,Ο Τομ δεν είναι καλός στα ψέματα.
6481,Tom is bad at lying.,Ο Τομ δε ξέρει να ψεύδεται.
6482,Tom is exaggerating.,Ο Τομ υπερβάλλει.
6483,Tom is from Harvard.,Ο Τομ είναι από το Χάρβαρντ.
6484,Tom is from Harvard.,Ο Τομ είναι απ' το Χάρβαρντ.
6485,Tom is helping Mary.,Ο Τομ βοηθάει τη Μαίρη.
6486,Tom is in Australia.,Ο Τομ είναι στην Αυστραλία.
6487,Tom is irresistible.,Ο Τομ είναι ακαταμάχητος.
6488,Tom is kissing Mary.,Ο Τομ φιλάει τη Μαίρη.
6489,Tom is my assistant.,Ο Τομ είναι ο βοηθός μου.
6490,Tom is on the phone.,Ο Τομ είναι στο τηλέφωνο.
6491,Tom is playing golf.,Ο Τομ παίζει γκολφ.
6492,Tom is really quiet.,Ο Τομ είναι πολύ ήσυχος.
6493,Tom is the murderer.,Ο Τομ είναι ο δολοφόνος.
6494,Tom is very likable.,Ο Τομ είναι πολύ συμπαθής.
6495,Tom is very patient.,Ο Θωμάς είναι πολύ υπομονετικός.
6496,Tom is your teacher.,Ο Τομ είναι ο δάσκαλός σου.
6497,Tom is your teacher.,Ο Τομ είναι ο δάσκαλός σας.
6498,Tom isn't one of us.,Ο Τομ δεν είναι ένας από μας.
6499,Tom knew I was busy.,Ο Τομ ήξερε ότι ήμουν απασχολημένος.
6500,Tom knew I was busy.,Ο Τομ ήξερε ότι ήμουν απασχολημένη.
6501,Tom knew the answer.,Ο Τομ γνώριζε την απάντηση.
6502,Tom knew the answer.,Ο Τομ ήξερε την απάντηση.
6503,Tom knows something.,Κάτι ξέρει ο Τομ.
6504,Tom knows something.,Ο Τομ κάτι ξέρει.
6505,Tom knows the truth.,Ο Τομ γνωρίζει την αλήθεια.
6506,Tom knows the truth.,Ο Τομ ξέρει την αλήθεια.
6507,Tom left for Boston.,Ο Τομ έφυγε για τη Βοστώνη.
6508,Tom left for Boston.,Ο Τομ έφυγε για Βοστώνη.
6509,Tom liked Australia.,Του Τομ του άρεσε η Αυστραλία.
6510,Tom liked to travel.,Στον Τομ άρεσε να ταξιδεύει.
6511,Tom likes to travel.,Στον Τομ αρέσει να ταξιδεύει.
6512,Tom listens to Mary.,Ο Τομ ακούει τη Μαίρη.
6513,Tom lives in Boston.,Ο Τομ ζει στη Βοστώνη.
6514,Tom lives in Boston.,Ο Τομ μένει στη Βοστώνη.
6515,Tom lives near Mary.,Ο Τομ μένει κοντά στη Μαίρη.
6516,Tom loves Australia.,Ο Τομ αγαπάει την Αυστραλία.
6517,Tom loves gardening.,Ο Τομ αγαπάει την κηπουρική.
6518,Tom made Mary happy.,Ο Τομ έκανε τη Μαίρη ευτυχισμένη.
6519,Tom made Mary happy.,Ο Τομ έκανε ευτυχισμένη τη Μαίρη.
6520,Tom made Mary laugh.,Ο Τομ έκανε τη Μαίρη να γελάσει.
6521,Tom married a nurse.,Ο Τομ παντρεύτηκε μια νοσοκόμα.
6522,Tom married a nurse.,Ο Τομ παντρεύτηκε νοσοκόμα.
6523,Tom often visits me.,Ο Τομ με επισκέπτεται συχνά.
6524,Tom owed Mary money.,Ο Τομ χρωστούσε λεφτά στη Μαίρη.
6525,Tom owed Mary money.,Ο Τομ χρωστούσε χρήματα στη Μαίρη.
6526,Tom prefers blondes.,Ο Τομ προτιμά τις ξανθιές.
6527,Tom questioned Mary.,Ο Τομ ανέκρινε τη Μαίρη.
6528,Tom recognized Mary.,Ο Τομ αναγνώρισε τη Μαίρη.
6529,Tom remained silent.,Ο Τομ παρέμεινε σιωπηλός.
6530,Tom sat beside Mary.,Ο Τομ κάθισε δίπλα Μαίρη.
6531,Tom saw Mary coming.,Ο Τομ είδε τη Μαίρη να έρχεται.
6532,Tom saw Mary coming.,Ο Τομ είδε τη Μαίρη να 'ρχεται.
6533,Tom saw Mary crying.,Ο Τομ είδε τη Μαίρη να κλαίει.
6534,Tom sells computers.,Ο Τομ πουλάει ηλεκτρονικούς υπολογιστές.
6535,Tom sells computers.,Ο Τομ πουλάει υπολογιστές.
6536,Tom started dancing.,Ο Τομ άρχισε να χορεύει.
6537,Tom started playing.,Ο Τομ άρχισε να παίζει.
